alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1789582039.8931,elite,855.55734403263,1789540528.9355,"AS396356 Latitude.sh",LATITUDE-SH,"Mexico City","North America",NA,Mexico,MX,,true,Latitude.sh,19.4326,-99.1332,false,Latitude.sh,true,"Mexico City",success,America/Mexico_City,75270,1789540253,1789582039.8931,40019,socks4,103.88.234.239:40019,true,806.52403831482,1507,1136,57.018539538403,103.88.234.239
true,1789576311.2199,elite,2574.8902709556,1776081502.2506,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Roanoke,"North America",NA,"United States",US,,false,"Cox Communications Inc.",37.2681,-79.9404,false,"Cox Communications Inc.",true,Virginia,success,America/New_York,24023,1789384946,1789582039.8896,4145,socks5,184.178.172.23:4145,true,975.40068626404,171449,66164,72.154722174292,184.178.172.23
true,1789582020.4184,elite,568.92222716258,1789324834.5476,"AS42546 UKRANIAN OPTICAL SYSTEMS AND TECHNOLOGIES LLC",UOS,Kyiv,Europe,EU,Ukraine,UA,,false,"Homelink LLC",50.4219,30.3982,false,"Pavel Primak",true,"Kyiv City",success,Europe/Kiev,31500,1789323458,1789582039.8421,1071,socks4,194.150.232.104:1071,true,180.36389350891,1040,8843,10.523120509967,194.150.232.104
true,1789581885.1078,elite,4037.4963840789,1789534107.7132,"AS219326 SULAVI LTD",SULAVIL,Eygelshoven,Europe,EU,"The Netherlands",NL,,true,"Secure Internet LLC",50.8933,6.05805,false,"Internet Security - AU",true,Limburg,success,Europe/Amsterdam,6471,1789533891,1789582039.8143,11332,socks5,45.74.31.22:11332,true,552.05631256104,338,264,56.146179401993,45.74.31.22
true,1789581970.5125,elite,6898.0699469016,1788915417.4873,"AS219326 SULAVI LTD",SULAVIL,Eygelshoven,Europe,EU,"The Netherlands",NL,,true,"Secure Internet LLC",50.8933,6.05805,false,"Internet Security - AU",true,Limburg,success,Europe/Amsterdam,6471,1789518933,1789582039.7903,34467,socks5,45.74.31.30:34467,true,2944.0088272095,3357,6221,35.049070787221,45.74.31.30
true,1789581757.9411,elite,2612.3483948188,1789544413.1606,"AS132165 Connect Communications",CONNECT-AS-AP,"Tando Adam",Asia,AS,Pakistan,PK,,false,"Connect Communication",25.8943,68.5247,false,WANGSU,true,Sindh,success,Asia/Karachi,68050,1789540781,1789582039.7879,10970,socks4,111.119.162.248:10970,true,987.89668083191,202,952,17.504332755633,111.119.162.248
true,1789548182.7577,elite,2632.0157991607,1789466308.4278,"AS152194 CTG Server Limited",CTGSERVERLIMITED-AS-AP,Shatin,Asia,AS,"Hong Kong",HK,,true,"CTG Server Ltd.",22.3829,114.1779,false,"Rackip Consultancy Pte. LTD",false,"Sha Tin",success,Asia/Hong_Kong,,1789464681,1789582039.7696,1080,socks4,27.124.12.186:1080,true,1607.4182987213,11935,46,99.616058759703,27.124.12.186
true,1789582039.728,elite,4581.4802298072,1789534378.0943,"AS219326 SULAVI LTD",SULAVIL,Eygelshoven,Europe,EU,"The Netherlands",NL,,true,"Secure Internet LLC",50.8933,6.05805,false,"Internet Security - AU",true,Limburg,success,Europe/Amsterdam,6471,1789533878,1789582039.728,4084,socks5,45.74.31.25:4084,true,2377.7451515198,171,271,38.68778280543,45.74.31.25
true,1789581912.5617,elite,4090.9529724377,1789569129.3488,"AS219326 SULAVI LTD",SULAVIL,Eygelshoven,Europe,EU,"The Netherlands",NL,,true,"Secure Internet LLC",50.8933,6.05805,false,"Internet Security - AU",true,Limburg,success,Europe/Amsterdam,6471,1789565808,1789582039.72,11703,socks5,45.74.31.25:11703,true,3336.1115455627,149,40,78.835978835979,45.74.31.25
true,1789582009.0321,elite,4653.1554085868,1789577262.9538,"AS219326 SULAVI LTD",SULAVIL,Eygelshoven,Europe,EU,"The Netherlands",NL,,true,"Secure Internet LLC",50.8933,6.05805,false,"Internet Security - AU",true,Limburg,success,Europe/Amsterdam,6471,1789573726,1789582039.6997,13882,socks5,45.74.31.22:13882,true,3275.5076885223,35,23,60.344827586207,45.74.31.22
